Device Name             ,OS Version
iPad Pro 12.9 2018      ,15.0
iPad Air 4              ,14.0
iPad 8th                ,14.0
iPad Pro 11 2021        ,14.0
iPad Pro 12.9 2020      ,14.0
iPad Pro 12.9 2021      ,14.0
iPad Mini 2019          ,13.0
iPad Air 2019           ,13.0
iPad 7th                ,13.0
iPad Pro 11 2020        ,13.0
iPad Pro 12.9 2018      ,13.0
iPad Pro 12.9 2020      ,13.0
iPad Mini 2019          ,12.0
iPad Air 2019           ,12.0
iPad Pro 11 2018        ,12.0
iPad Pro 12.9 2018      ,12.0
iPad Mini 4             ,11.0
iPad 5th                ,11.0
iPad 6th                ,11.0
iPad Pro 9.7 2016       ,11.0
iPad Pro 12.9           ,11.0
