Device Name             ,OS Version
iPhone XS               ,15.0
iPhone 8                ,15.0
iPhone 11 Pro           ,15.0
iPhone XS               ,14.0
iPhone 11 Pro Max       ,14.0
iPhone 11               ,14.0
iPhone 12 Pro Max       ,14.0
iPhone 12               ,14.0
iPhone 12 Mini          ,14.0
iPhone 12 Pro           ,14.0
iPhone SE 2020          ,13.0
iPhone XS               ,13.0
iPhone 8                ,13.0
iPhone 11 Pro           ,13.0
iPhone 11 Pro Max       ,13.0
iPhone 11               ,13.0
iPhone 8 Plus           ,12.0
iPhone 6S               ,12.0
iPhone 7                ,12.0
iPhone 8                ,12.0
iPhone XR               ,12.0
iPhone XS Max           ,12.0
iPhone XS               ,12.0
iPhone 6                ,11.0
iPhone 6S               ,11.0
iPhone 6S Plus          ,11.0
iPhone SE               ,11.0
iPhone 8                ,11.0
iPhone 8 Plus           ,11.0
iPhone X                ,11.0
